"geo","geo_tipo","regiao","macrossetor","ano","vab_nominal","vab_lo95","vab_hi95","tipo","horizonte"
"Acre","estado","Norte","adm_publica",2002,0,,,"Histórico","Histórico"
"Acre","estado","Norte","adm_publica",2003,1182.41775878567,,,"Histórico","Histórico"
"Acre","estado","Norte","adm_publica",2004,1301.39772743306,,,"Histórico","Histórico"
"Acre","estado","Norte","adm_publica",2005,1485.77852081115,,,"Histórico","Histórico"
"Acre","estado","Norte","adm_publica",2006,1731.40930543727,,,"Histórico","Histórico"
"Acre","estado","Norte","adm_publica",2007,1971.07199781924,,,"Histórico","Histórico"
"Acre","estado","Norte","adm_publica",2008,2256.64981228719,,,"Histórico","Histórico"
"Acre","estado","Norte","adm_publica",2009,2510.95073094449,,,"Histórico","Histórico"
"Acre","estado","Norte","adm_publica",2010,2761.74504392683,,,"Histórico","Histórico"
"Acre","estado","Norte","adm_publica",2011,3004.14186291283,,,"Histórico","Histórico"
"Acre","estado","Norte","adm_publica",2012,3420.68685934309,,,"Histórico","Histórico"
"Acre","estado","Norte","adm_publica",2013,3949.2403433182,,,"Histórico","Histórico"
"Acre","estado","Norte","adm_publica",2014,4357.51886428376,,,"Histórico","Histórico"
"Acre","estado","Norte","adm_publica",2015,4538.13954993387,,,"Histórico","Histórico"
"Acre","estado","Norte","adm_publica",2016,4879.11910924421,,,"Histórico","Histórico"
"Acre","estado","Norte","adm_publica",2017,5190.09212640059,,,"Histórico","Histórico"
"Acre","estado","Norte","adm_publica",2018,5457.21066289914,,,"Histórico","Histórico"
"Acre","estado","Norte","adm_publica",2019,5673.90034922669,,,"Histórico","Histórico"
"Acre","estado","Norte","adm_publica",2020,6031.05052040405,,,"Histórico","Histórico"
"Acre","estado","Norte","adm_publica",2021,6633.28319393463,,,"Histórico","Histórico"
"Acre","estado","Norte","adm_publica",2022,7725.97106052661,,,"Histórico","Histórico"
"Acre","estado","Norte","adm_publica",2023,9215.63422983988,,,"Histórico","Histórico"
"Acre","estado","Norte","adm_publica",2024,10839.2664868256,10032.3280220581,11646.2049515932,"Projetado","Operacional"
"Acre","estado","Norte","adm_publica",2025,12692.3097287531,10486.4154985968,15101.0587565641,"Projetado","Operacional"
"Acre","estado","Norte","adm_publica",2026,14856.0052380028,10630.6605374689,20041.9815002846,"Projetado","Operacional"
"Acre","estado","Norte","adm_publica",2027,17249.1859359697,10401.6143245714,26931.0002137479,"Projetado","Operacional"
"Acre","estado","Norte","adm_publica",2028,19863.269210757,9836.7496461706,36556.1909795527,"Projetado","Exploratório"
"Acre","estado","Norte","adm_publica",2029,22421.8929785398,8895.47147294509,49471.99005825,"Projetado","Exploratório"
"Acre","estado","Norte","adm_publica",2030,24544.7062839024,7614.80527825347,65962.0021391794,"Projetado","Exploratório"
"Acre","estado","Norte","adm_publica",2031,25529.4142783916,6048.38950386579,84823.475282289,"Projetado","Exploratório"
"Acre","estado","Norte","agropecuaria",2002,284.33718763832,,,"Histórico","Histórico"
"Acre","estado","Norte","agropecuaria",2003,381.30007166437,,,"Histórico","Histórico"
"Acre","estado","Norte","agropecuaria",2004,344.64977365064,,,"Histórico","Histórico"
"Acre","estado","Norte","agropecuaria",2005,411.3536633785,,,"Histórico","Histórico"
"Acre","estado","Norte","agropecuaria",2006,359.33653344137,,,"Histórico","Histórico"
"Acre","estado","Norte","agropecuaria",2007,380.4072302979,,,"Histórico","Histórico"
"Acre","estado","Norte","agropecuaria",2008,500.64117595288,,,"Histórico","Histórico"
"Acre","estado","Norte","agropecuaria",2009,502.61307065846,,,"Histórico","Histórico"
"Acre","estado","Norte","agropecuaria",2010,784.37471705443,,,"Histórico","Histórico"
"Acre","estado","Norte","agropecuaria",2011,862.62532701196,,,"Histórico","Histórico"
"Acre","estado","Norte","agropecuaria",2012,957.22930391057,,,"Histórico","Histórico"
"Acre","estado","Norte","agropecuaria",2013,1182.07098822086,,,"Histórico","Histórico"
"Acre","estado","Norte","agropecuaria",2014,1324.89058386807,,,"Histórico","Histórico"
"Acre","estado","Norte","agropecuaria",2015,1346.47749607213,,,"Histórico","Histórico"
"Acre","estado","Norte","agropecuaria",2016,1457.71374809395,,,"Histórico","Histórico"
"Acre","estado","Norte","agropecuaria",2017,1342.1872534344,,,"Histórico","Histórico"
"Acre","estado","Norte","agropecuaria",2018,1211.59686391269,,,"Histórico","Histórico"
"Acre","estado","Norte","agropecuaria",2019,1044.95769694501,,,"Histórico","Histórico"
"Acre","estado","Norte","agropecuaria",2020,983.53181408167,,,"Histórico","Histórico"
"Acre","estado","Norte","agropecuaria",2021,3637.87089649766,,,"Histórico","Histórico"
"Acre","estado","Norte","agropecuaria",2022,4667.894475948,,,"Histórico","Histórico"
"Acre","estado","Norte","agropecuaria",2023,4097.79138177025,,,"Histórico","Histórico"
"Acre","estado","Norte","agropecuaria",2024,7325.5334840162,1650.24958566248,15502.7825042121,"Projetado","Operacional"
"Acre","estado","Norte","agropecuaria",2025,13170.9676361322,577.003552441453,63898.1936366188,"Projetado","Operacional"
