geo,geo_tipo,serie_tipo,macrossetor,atividade,variavel,modelo,parametros,mase_ponderado,mase_h1,mase_h2,mase_h3,fallback
Acre,estado,Macrossetor,adm_publica,NA,idx_volume,arma,"ARIMA(1,0,0) with non-zero mean",2.3616814730221103,2.4853726278861594,2.5737177684483554,1.73439914272262,FALSE
Acre,estado,Macrossetor,adm_publica,NA,idx_preco,ets,"ETS(A,N,N)",1.036608783734641,0.8609199627378455,1.0511686472261117,1.4539910409894239,FALSE
Acre,estado,Macrossetor,agropecuaria,NA,idx_volume,rw,Random walk with drift,1.791719743521482,1.222362473441242,1.7878505733713543,3.220916673947274,FALSE
Acre,estado,Macrossetor,agropecuaria,NA,idx_preco,arima,"ARIMA(0,0,0) with non-zero mean",1.5922771062709193,1.5290182158334757,1.5220861717017453,1.8557107342182897,FALSE
Acre,estado,Macrossetor,industria,NA,idx_volume,rw,Random walk with drift,0.4703085851952016,0.38966228471353653,0.5627510081283714,0.5332607019996094,FALSE
Acre,estado,Macrossetor,industria,NA,idx_preco,ets,"ETS(A,N,N)",0.5044572019863078,0.4158942050241157,0.5161925834486243,0.7082616221983133,FALSE
Acre,estado,Macrossetor,servicos,NA,idx_volume,ssm,Local linear structural model,0.2571082550512149,0.28619972699785245,0.2848221418799253,0.1428087449415554,FALSE
Acre,estado,Macrossetor,servicos,NA,idx_preco,ets,"ETS(M,N,N)",0.38128025918452646,0.2586473522810586,0.5295755749258788,0.46541955283116776,FALSE
Alagoas,estado,Macrossetor,adm_publica,NA,idx_volume,ets_amort,"ETS(A,Ad,N)",1.914184663877994,1.7112899082371849,1.921588355331102,2.4103160158003547,FALSE
Alagoas,estado,Macrossetor,adm_publica,NA,idx_preco,ets_amort,"ETS(A,Ad,N)",0.8853232238781743,0.9109915834864749,0.9266562054417378,0.759152852512078,FALSE
Alagoas,estado,Macrossetor,agropecuaria,NA,idx_volume,arima,"ARIMA(0,0,0) with non-zero mean",0.3477131006769403,0.27766779218829546,0.4360269100047325,0.3903556579068639,FALSE
Alagoas,estado,Macrossetor,agropecuaria,NA,idx_preco,ssm,Local linear structural model,1.027277522871038,0.9030497207068335,1.2461026717670707,1.0096093049375001,FALSE
Alagoas,estado,Macrossetor,industria,NA,idx_volume,arma,"ARIMA(0,0,1) with non-zero mean",0.9230590862385928,0.7512873247592096,1.0640611168225753,1.140985444061077,FALSE
Alagoas,estado,Macrossetor,industria,NA,idx_preco,ssm,Local linear structural model,0.8524196429482462,0.5937538958690113,1.1725593431002936,1.0188744604182627,FALSE
Alagoas,estado,Macrossetor,servicos,NA,idx_volume,arma,"ARIMA(0,0,0) with non-zero mean",1.3293673442073621,1.2596243444599804,1.4352705972283684,1.3448699640443065,FALSE
Alagoas,estado,Macrossetor,servicos,NA,idx_preco,ets,"ETS(M,N,N)",0.5457348692461215,0.6749142378737624,0.41568544761339404,0.4178605801261103,FALSE
Amapá,estado,Macrossetor,adm_publica,NA,idx_volume,ets_amort,"ETS(M,Ad,N)",0.9283562912253776,0.7209729066202325,1.0234566981614461,1.3041641423341375,FALSE
Amapá,estado,Macrossetor,adm_publica,NA,idx_preco,arima,"ARIMA(0,0,0) with non-zero mean",0.9378888744866134,0.6570596661253766,0.970775686858668,1.5906316768316238,FALSE
Amapá,estado,Macrossetor,agropecuaria,NA,idx_volume,ssm,Local linear structural model,0.4084566626939017,0.543017815716112,0.292623878970421,0.24580295572359695,FALSE
Amapá,estado,Macrossetor,agropecuaria,NA,idx_preco,ssm,Local linear structural model,0.5108375421212994,0.18720452094508327,0.7105957736609376,1.0202827477523826,FALSE
Amapá,estado,Macrossetor,industria,NA,idx_volume,ets_amort,"ETS(A,Ad,N)",0.33614663732049066,0.35665496584206524,0.37336981233467836,0.22904105349527262,FALSE
Amapá,estado,Macrossetor,industria,NA,idx_preco,arima,"ARIMA(0,0,0) with non-zero mean",0.7325106334030358,0.676726089428133,0.8158017859557712,0.7470352645111896,FALSE
Amapá,estado,Macrossetor,servicos,NA,idx_volume,arma,"ARIMA(0,0,0) with non-zero mean",0.802615355674897,0.858806927484193,0.7868735188500803,0.6857491813888817,FALSE
Amapá,estado,Macrossetor,servicos,NA,idx_preco,rw,Random walk with drift,0.7322033014688364,0.33769563999378044,1.0360012555682327,1.2627755240073817,FALSE
Amazonas,estado,Macrossetor,adm_publica,NA,idx_volume,arma,"ARIMA(0,0,0) with non-zero mean",1.358729577536408,1.5067337337731714,1.211080569214672,1.210192699427104,FALSE
Amazonas,estado,Macrossetor,adm_publica,NA,idx_preco,ets,"ETS(M,N,N)",0.4931372019561631,0.4722109809404252,0.49566616025573224,0.5416593170461543,FALSE
Amazonas,estado,Macrossetor,agropecuaria,NA,idx_volume,rw,Random walk with drift,0.29005854113580765,0.25158055957374903,0.31642616198167345,0.3467020637721557,FALSE
Amazonas,estado,Macrossetor,agropecuaria,NA,idx_preco,rw,Random walk with drift,0.42080685428803155,0.25912475753014214,0.3996665553018475,0.8567225446620311,FALSE
Amazonas,estado,Macrossetor,industria,NA,idx_volume,ets,"ETS(M,N,N)",0.33636758622724205,0.4524946016916831,0.24176125901159826,0.18795953838960522,FALSE
Amazonas,estado,Macrossetor,industria,NA,idx_preco,ets,"ETS(M,N,N)",0.4482713054577488,0.40722807247985765,0.5165012867194734,0.4485344160098898,FALSE
Amazonas,estado,Macrossetor,servicos,NA,idx_volume,ets,"ETS(A,N,N)",0.6765282868752748,0.658690142881031,0.685054453451045,0.7083343969972287,FALSE
Amazonas,estado,Macrossetor,servicos,NA,idx_preco,theta,Theta,0.562814640211086,0.5798859854448013,0.5419297198483328,0.5514636576709274,FALSE
Bahia,estado,Macrossetor,adm_publica,NA,idx_volume,arma,"ARIMA(0,0,0) with non-zero mean",1.2269031192177098,1.2743001492148305,1.2025079788957125,1.1450032547079039,FALSE
Bahia,estado,Macrossetor,adm_publica,NA,idx_preco,arima,"ARIMA(0,0,0) with non-zero mean",1.2088883144836524,1.2769708330338982,1.1041772763395985,1.195748575324119,FALSE
Bahia,estado,Macrossetor,agropecuaria,NA,idx_volume,ssm,Local linear structural model,0.5725035051042746,0.7618449590057909,0.40197797914622263,0.35493815928756184,FALSE
Bahia,estado,Macrossetor,agropecuaria,NA,idx_preco,ets_amort,"ETS(M,Ad,N)",0.8951178210844759,0.8153739925543602,0.8749330768254646,1.1247545087982822,FALSE
Bahia,estado,Macrossetor,industria,NA,idx_volume,arma,"ARIMA(1,0,0) with non-zero mean",0.5090756548535739,0.3664033569367509,0.6257700740220056,0.6907147708929837,FALSE
Bahia,estado,Macrossetor,industria,NA,idx_preco,arima,"ARIMA(3,0,0) with non-zero mean",0.9348536262097551,0.9997493815404058,0.8167741729014594,0.9497334178455715,FALSE
Bahia,estado,Macrossetor,servicos,NA,idx_volume,arma,"ARIMA(0,0,0) with non-zero mean",0.936209892736517,0.8700151037258171,0.9940573463720939,1.0149256848099015,FALSE
Bahia,estado,Macrossetor,servicos,NA,idx_preco,ssm,Local linear structural model,0.5346796846889664,0.5224580584320774,0.6402270239100621,0.4069127414995454,FALSE
Brasil,brasil,Macrossetor,adm_publica,NA,idx_volume,arima,"ARIMA(0,1,1)",1.72313674277684,1.3247350753955753,1.8833221683067298,2.478862772935167,FALSE
Brasil,brasil,Macrossetor,adm_publica,NA,idx_preco,theta,Theta,0.8505985921557601,0.8206434701368414,0.853151462078978,0.9216570923182298,FALSE
Brasil,brasil,Macrossetor,agropecuaria,NA,idx_volume,ets_amort,"ETS(A,Ad,N)",0.4682561186734333,0.36905146657854637,0.4163309666299196,0.7941554769759211,FALSE
Brasil,brasil,Macrossetor,agropecuaria,NA,idx_preco,arima,"ARIMA(0,0,0) with non-zero mean",1.4604697966581548,1.4150984575132857,1.496383412941693,1.5200277200950199,FALSE
Brasil,brasil,Macrossetor,industria,NA,idx_volume,arma,"ARIMA(0,0,0) with non-zero mean",0.5973519190136143,0.6251835605585463,0.6093117794104548,0.5098330245560235,FALSE
Brasil,brasil,Macrossetor,industria,NA,idx_preco,arma,"ARIMA(0,0,1) with non-zero mean",1.5154687397117683,1.362385857720314,1.6061726884036,1.7621200216526562,FALSE
Brasil,brasil,Macrossetor,servicos,NA,idx_volume,arma,"ARIMA(0,0,0) with non-zero mean",1.275385087112213,1.2867443427315963,1.2884998013341973,1.2273148767307782,FALSE
Brasil,brasil,Macrossetor,servicos,NA,idx_preco,rw,Random walk with drift,1.1803721912062612,0.6971038612820911,1.4148819621117417,2.036778359658466,FALSE
Ceará,estado,Macrossetor,adm_publica,NA,idx_volume,arma,"ARIMA(0,0,0) with non-zero mean",1.3234299744712272,1.403688190279093,1.3375344944108392,1.1016276550421444,FALSE
Ceará,estado,Macrossetor,adm_publica,NA,idx_preco,ssm,Local linear structural model,0.7726707635843953,0.7263760143091972,0.681633146038746,1.0249640630908647,FALSE
